code,gender,name,country,disciplines
1958888,Male,PHIL WIZARD,Canada,['Breaking']
1958899,Female,RUANO OLIVA Adriana,Guatemala,['Shooting']
1958970,Male,BROL CARDENAS Jean Pierre,Guatemala,['Shooting']
1959132,Male,ZSOMBOR-MURRAY Nathan,Canada,['Diving']
1959136,Female,MILLER Kate,Canada,['Diving']
1959139,Female,ERLAM Margo,Canada,['Diving']
1959144,Female,McKAY Caeli,Canada,['Diving']
1959146,Male,WIENS Rylan,Canada,['Diving']
1959163,Female,SOTO ABRIL Ana Waleska,Guatemala,['Shooting']
1959194,Female,ODIRA Lilian,Kenya,['Athletics']
1959264,Male,BALTASAR SUMMERS Nacho,Spain,['Sailing']
1959265,Female,BARCELO MARTIN Paula,Spain,['Sailing']
1959267,Male,BARRIO GARCIA Andres,Spain,['Sailing']
1959269,Male,BLANCO Joaquin,Spain,['Sailing']
1959270,Male,BOTIN le CHEVER Diego,Spain,['Sailing']
1959271,Female,BRUGMAN CABOT Nora,Spain,['Sailing']
1959276,Female,ECHEGOYEN DOMINGUEZ Tamara,Spain,['Sailing']
1959279,Female,LAMADRID TRUEBA Pilar,Spain,['Sailing']
1959284,Female,MONCADA SANCHEZ Ana,Spain,['Sailing']
1959285,Female,PACHECO van RIJNSOEVER Tara,Spain,['Sailing']
1959287,Female,PULIDO BORRELL Gisela,Spain,['Sailing']
1959294,Male,TRITTEL PAUL Florian,Spain,['Sailing']
1959298,Male,XAMMAR HERNANDEZ Jordi,Spain,['Sailing']
1959344,Female,MARTINEZ Franchina,Dominican Republic,['Athletics']
1959450,Male,GORDON Jehlani,Jamaica,['Athletics']
1959452,Male,HAYLES Reheem,Jamaica,['Athletics']
1959486,Male,BERMUDEZ LABBE Sebastian,Guatemala,['Shooting']
1959716,Male,YEGO Julius,Kenya,['Athletics']
1959778,Male,SHOSTAK Aliaksei,United States,['Trampoline Gymnastics']
1959781,Male,HONG Asher,United States,['Artistic Gymnastics']
1959810,Female,GRISKENAS Evita,United States,['Rhythmic Gymnastics']
1959811,Male,RICHARD Frederick,United States,['Artistic Gymnastics']
1959814,Female,RIVERA Hezly,United States,['Artistic Gymnastics']
1959819,Female,CAREY Jade,United States,['Artistic Gymnastics']
