medal_type,code,country
Bronze Medal,1880591,Germany
Bronze Medal,1880576,Germany
Bronze Medal,1880566,Germany
Bronze Medal,1880606,Germany
Bronze Medal,1880595,Germany
Bronze Medal,1880574,Germany
Bronze Medal,1880572,Germany
Bronze Medal,1880581,Germany
Bronze Medal,1880584,Germany
Bronze Medal,1880573,Germany
Bronze Medal,1880564,Germany
Bronze Medal,1880602,Germany
Bronze Medal,1880565,Germany
Bronze Medal,1880609,Germany
Bronze Medal,1880575,Germany
Bronze Medal,1880592,Germany
Bronze Medal,1880583,Germany
Bronze Medal,1880610,Germany
Bronze Medal,1880571,Germany
Bronze Medal,1880578,Germany
Gold Medal,1971974,Netherlands
Gold Medal,1971927,Netherlands
Gold Medal,1971955,Netherlands
Gold Medal,1971960,Netherlands
Gold Medal,1971978,Netherlands
Gold Medal,1971940,Netherlands
Gold Medal,1971948,Netherlands
Gold Medal,1971903,Netherlands
Gold Medal,1971975,Netherlands
Gold Medal,1971945,Netherlands
Gold Medal,1971950,Netherlands
Gold Medal,1971919,Netherlands
Gold Medal,1971942,Netherlands
Gold Medal,1971965,Netherlands
Gold Medal,1971973,Netherlands
Gold Medal,1971958,Netherlands
Gold Medal,1971923,Netherlands
Silver Medal,1926915,China
Silver Medal,1926896,China
Silver Medal,1926914,China
Silver Medal,1926920,China
Silver Medal,1926893,China
Silver Medal,1926908,China
Silver Medal,1926901,China
Silver Medal,1926909,China
Silver Medal,1926894,China
Silver Medal,1926923,China
Silver Medal,1926898,China
Silver Medal,1926895,China
Silver Medal,1926926,China
Silver Medal,1926912,China
Silver Medal,1926922,China
Silver Medal,1926910,China
Silver Medal,1926916,China
Bronze Medal,1538304,Argentina
Bronze Medal,1538274,Argentina
Bronze Medal,1538294,Argentina
Bronze Medal,1538253,Argentina
Bronze Medal,1538244,Argentina
Bronze Medal,1538276,Argentina
Bronze Medal,1538266,Argentina
Bronze Medal,1538295,Argentina
Bronze Medal,1538299,Argentina
Bronze Medal,1538261,Argentina
Bronze Medal,1538305,Argentina
Bronze Medal,1538262,Argentina
Bronze Medal,1538263,Argentina
Bronze Medal,1538260,Argentina
Bronze Medal,1538277,Argentina
Bronze Medal,1900397,Argentina
Gold Medal,1902295,China
Gold Medal,1902300,China
Gold Medal,1902301,China
Silver Medal,1563381,Sweden
Silver Medal,1563386,Sweden
Silver Medal,1563390,Sweden
Bronze Medal,1889178,France
Bronze Medal,1889176,France
Bronze Medal,1889177,France
Bronze Medal,1917987,United States
Bronze Medal,1917988,United States
Bronze Medal,1917991,United States
Bronze Medal,1917993,United States
Bronze Medal,1918000,United States
Bronze Medal,1918002,United States
Bronze Medal,1918003,United States
Bronze Medal,1917982,United States
Bronze Medal,1918007,United States
Bronze Medal,1918009,United States
Bronze Medal,1918011,United States
Bronze Medal,1918012,United States
Bronze Medal,1917994,United States
Gold Medal,1908852,China
Gold Medal,1908853,China
Silver Medal,1544151,Great Britain
Silver Medal,1980935,Great Britain
Bronze Medal,1972513,Netherlands
Bronze Medal,1972512,Netherlands
Gold Medal,1960604,United States
Gold Medal,1960684,United States
Gold Medal,1960590,United States
Gold Medal,1960177,United States
Gold Medal,1965202,United States
Gold Medal,1965289,United States
Gold Medal,1960111,United States
Gold Medal,4979564,United States
Silver Medal,4975921,Botswana
Silver Medal,1950939,Botswana
Silver Medal,1950897,Botswana
Silver Medal,1951506,Botswana
Silver Medal,1950918,Botswana
Silver Medal,1936983,Botswana
Bronze Medal,1924406,Great Britain
Bronze Medal,1924409,Great Britain
Bronze Medal,4663897,Great Britain
Bronze Medal,1924426,Great Britain
Bronze Medal,1924430,Great Britain
Bronze Medal,1956853,Great Britain
Bronze Medal,1924402,
Gold Medal,1960650,United States
Gold Medal,4979555,United States
Gold Medal,1960984,United States
Gold Medal,1961016,United States
Gold Medal,1960909,United States
Gold Medal,1960179,United States
Gold Medal,1965308,United States
Gold Medal,1965868,United States
Silver Medal,1972078,Netherlands
Silver Medal,1972288,Netherlands
Silver Medal,1972115,Netherlands
Silver Medal,1972240,Netherlands
Silver Medal,1972248,Netherlands
Silver Medal,4980004,Netherlands
Silver Medal,1972251,Netherlands
Bronze Medal,1924383,Great Britain
Bronze Medal,1924437,Great Britain
Bronze Medal,1956846,Great Britain
Bronze Medal,1924464,Great Britain
Bronze Medal,1924463,Great Britain
Bronze Medal,1924470,Great Britain
Bronze Medal,1924506,Great Britain
Bronze Medal,1924509,Great Britain
Gold Medal,1954698,United States
Gold Medal,1954701,United States
Gold Medal,1954714,United States
Gold Medal,1954700,United States
Gold Medal,1954724,United States
Gold Medal,1954705,United States
Gold Medal,1954684,United States
Gold Medal,1954683,United States
Gold Medal,1954709,United States
Gold Medal,1954688,United States
Gold Medal,1954699,United States
Gold Medal,1954687,United States
Silver Medal,1573636,France
Silver Medal,1573628,France
Silver Medal,1573627,France
Silver Medal,1573638,France
Silver Medal,1573640,France
Silver Medal,1573632,France
Silver Medal,1573630,France
Silver Medal,1573634,France
Silver Medal,1573633,France
Silver Medal,1573639,France
Silver Medal,1573660,France
Silver Medal,1573642,France
Bronze Medal,1948421,Serbia
Bronze Medal,1948420,Serbia
Bronze Medal,1948413,Serbia
Bronze Medal,1948404,Serbia
Bronze Medal,1948416,Serbia
Bronze Medal,1948407,Serbia
Bronze Medal,1948411,Serbia
Bronze Medal,1948417,Serbia
Bronze Medal,1948408,Serbia
Bronze Medal,1948405,Serbia
Bronze Medal,1948402,Serbia
Bronze Medal,1948418,Serbia
Gold Medal,1934586,Sweden
Gold Medal,1934579,Sweden
Silver Medal,1562864,Germany
Silver Medal,1562868,Germany
Bronze Medal,1878383,Norway
Bronze Medal,1878386,Norway
Gold Medal,1933816,Portugal
Gold Medal,1933821,Portugal
Silver Medal,1923518,Italy
Silver Medal,1923519,Italy
Bronze Medal,1879180,Denmark
Bronze Medal,1879160,Denmark
Gold Medal,1943575,United States
Gold Medal,1943553,United States
Gold Medal,1943542,United States
Gold Medal,1943555,United States
Gold Medal,1943580,United States
Gold Medal,1943566,United States
Gold Medal,1943588,United States
Gold Medal,1943596,United States
Gold Medal,1943591,United States
Gold Medal,1943558,United States
Gold Medal,1943586,United States
Gold Medal,1943550,United States
Gold Medal,1943576,United States
Gold Medal,1943587,United States
Gold Medal,1943585,United States
Gold Medal,1943567,United States
Gold Medal,1943547,United States
Gold Medal,1943574,United States
Gold Medal,4665325,United States
Gold Medal,1943569,United States
Silver Medal,1967608,Brazil
Silver Medal,1967575,Brazil
Silver Medal,1967629,Brazil
Silver Medal,1967625,Brazil
Silver Medal,1967616,Brazil
Silver Medal,1967626,Brazil
Silver Medal,1967602,Brazil
Silver Medal,1967635,Brazil
Silver Medal,1967574,Brazil
Silver Medal,1967617,Brazil
Silver Medal,1967599,Brazil
Silver Medal,1967630,Brazil
Silver Medal,1967636,Brazil
Silver Medal,1967612,Brazil
Silver Medal,1967628,Brazil
Silver Medal,1967594,Brazil
Silver Medal,1967565,Brazil
Silver Medal,1967593,Brazil
Silver Medal,1967623,Brazil
Silver Medal,1967567,Brazil
Silver Medal,1967606,Brazil
Silver Medal,1967607,Brazil
Gold Medal,1878514,Norway
Gold Medal,1878518,Norway
Gold Medal,1878496,Norway
Gold Medal,1878486,Norway
Gold Medal,1878515,Norway
Gold Medal,1878492,Norway
Gold Medal,1878516,Norway
Gold Medal,1878511,Norway
Gold Medal,1878493,Norway
Gold Medal,1878509,Norway
Gold Medal,1878501,Norway
Gold Medal,1878487,Norway
Gold Medal,1878500,Norway
Gold Medal,1878495,Norway
Gold Medal,1878490,Norway
Silver Medal,1879834,France
Silver Medal,1879845,France
Silver Medal,1879853,France
Silver Medal,1879854,France
Silver Medal,1879842,France
Silver Medal,1879856,France
Silver Medal,1879826,France
Silver Medal,1879830,France
Silver Medal,1879839,France
Silver Medal,1893824,France
Silver Medal,1879831,France
Silver Medal,1879846,France
Silver Medal,1879847,France
Silver Medal,1879836,France
Silver Medal,1946320,France
Silver Medal,1879835,France
Silver Medal,1879851,France
Bronze Medal,1895245,Denmark
Bronze Medal,1895210,Denmark
Bronze Medal,1895215,Denmark
Bronze Medal,1895159,Denmark
Bronze Medal,1895232,Denmark
Bronze Medal,1895250,Denmark
Bronze Medal,1895246,Denmark
Bronze Medal,1895168,Denmark
Bronze Medal,1895224,Denmark
Bronze Medal,1895214,Denmark
Bronze Medal,1895187,Denmark
Bronze Medal,1895213,Denmark
Bronze Medal,1895152,Denmark
Bronze Medal,1895226,Denmark
Bronze Medal,1895166,Denmark
Gold Medal,1902307,China
Gold Medal,1902313,China
Gold Medal,1902314,China
Silver Medal,1931100,Japan
Silver Medal,1931098,Japan
Silver Medal,1931101,Japan
Bronze Medal,1936435,Korea
Bronze Medal,1936419,Korea
Bronze Medal,1936425,Korea
Gold Medal,1574049,France
Gold Medal,1574045,France
Gold Medal,1574055,France
Gold Medal,1574057,France
Gold Medal,1574048,France
Gold Medal,1574061,France
Gold Medal,1574041,France
Gold Medal,1574067,France
Gold Medal,1574046,France
Gold Medal,1574058,France
Gold Medal,1574060,France
Gold Medal,1574065,France
Gold Medal,1574043,France
Silver Medal,1902882,Poland
Silver Medal,1902890,Poland
Silver Medal,1902892,Poland
Silver Medal,1902902,Poland
Silver Medal,1902893,Poland
Silver Medal,1902886,Poland
Silver Medal,1902901,Poland
Silver Medal,1902910,Poland
Silver Medal,1902881,Poland
Silver Medal,1902869,Poland
Silver Medal,1902875,Poland
Silver Medal,1902880,Poland
Silver Medal,1902870,Poland
Bronze Medal,1964076,Brazil
Bronze Medal,1964152,Brazil
Bronze Medal,1964140,Brazil
Bronze Medal,1964180,Brazil
Bronze Medal,1964167,Brazil
Bronze Medal,1964169,Brazil
Bronze Medal,1964094,Brazil
Bronze Medal,1964065,Brazil
Bronze Medal,1964063,Brazil
Bronze Medal,1964106,Brazil
Bronze Medal,1964183,Brazil
Bronze Medal,1964136,Brazil
Bronze Medal,1964151,Brazil
Gold Medal,1954878,Spain
Gold Medal,1954897,Spain
Gold Medal,1954877,Spain
Gold Medal,1954893,Spain
Gold Medal,1954895,Spain
Gold Medal,1954875,Spain
Gold Medal,1954900,Spain
Gold Medal,1954894,Spain
Gold Medal,1954880,Spain
Gold Medal,1954874,Spain
Gold Medal,1954881,Spain
Gold Medal,1954886,Spain
Gold Medal,1954903,Spain
Silver Medal,1947514,Australia
Silver Medal,1947523,Australia
Silver Medal,1947513,Australia
Silver Medal,1947506,Australia
Silver Medal,1947540,Australia
Silver Medal,1947497,Australia
Silver Medal,1947508,Australia
Silver Medal,1947541,Australia
Silver Medal,1947546,Australia
Silver Medal,1947498,Australia
Silver Medal,1947528,Australia
Silver Medal,1947512,Australia
Silver Medal,1947515,Australia
Bronze Medal,1968845,Netherlands
Bronze Medal,1968848,Netherlands
Bronze Medal,1968857,Netherlands
Bronze Medal,1968858,Netherlands
Bronze Medal,1968860,Netherlands
Bronze Medal,1968855,Netherlands
Bronze Medal,1968851,Netherlands
Bronze Medal,1968847,Netherlands
Bronze Medal,1968856,Netherlands
Bronze Medal,1968850,Netherlands
Bronze Medal,1968854,Netherlands
Bronze Medal,1968853,Netherlands
Bronze Medal,1968846,Netherlands
Gold Medal,1954742,United States
Gold Medal,1954748,United States
Gold Medal,1954739,United States
Gold Medal,1954730,United States
Gold Medal,1954734,United States
Gold Medal,1954757,United States
Gold Medal,1954752,United States
Gold Medal,1954729,United States
Gold Medal,1954753,United States
Gold Medal,1954758,United States
Gold Medal,1954754,United States
Gold Medal,1954735,United States
Silver Medal,1573445,France
Silver Medal,1573442,France
Silver Medal,1573452,France
Silver Medal,1573439,France
Silver Medal,1573454,France
Silver Medal,1573455,France
Silver Medal,1573451,France
Silver Medal,1573457,France
Silver Medal,1573440,France
Silver Medal,1573448,France
Silver Medal,1573449,France
Silver Medal,1573441,France
Bronze Medal,1939955,Australia
Bronze Medal,1939956,Australia
Bronze Medal,1939970,Australia
Bronze Medal,1939971,Australia
Bronze Medal,1939943,Australia
Bronze Medal,1939952,Australia
Bronze Medal,1939964,Australia
Bronze Medal,1939948,Australia
Bronze Medal,1939946,Australia
Bronze Medal,1939954,Australia
Bronze Medal,1939959,Australia
Bronze Medal,1939967,Australia
Gold Medal,1895223,Denmark
Gold Medal,1895248,Denmark
Gold Medal,1895241,Denmark
Gold Medal,1895238,Denmark
Gold Medal,1895239,Denmark
Gold Medal,1895202,Denmark
Gold Medal,1895227,Denmark
Gold Medal,1895228,Denmark
Gold Medal,1895237,Denmark
Gold Medal,1895172,Denmark
Gold Medal,1895235,Denmark
Gold Medal,1895161,Denmark
Gold Medal,1895178,Denmark
Gold Medal,1895234,Denmark
Gold Medal,1895236,Denmark
Gold Medal,1895180,Denmark
Silver Medal,1899256,Germany
Silver Medal,1899239,Germany
Silver Medal,1899226,Germany
Silver Medal,1899206,Germany
Silver Medal,1899237,Germany
Silver Medal,1899214,Germany
Silver Medal,1899227,Germany
Silver Medal,1899231,Germany
Silver Medal,1899185,Germany
Silver Medal,1899247,Germany
Silver Medal,1899193,Germany
Silver Medal,1899181,Germany
Silver Medal,1899252,Germany
Silver Medal,1899246,Germany
Silver Medal,3546884,Germany
Silver Medal,1899187,Germany
Bronze Medal,1948272,Spain
Bronze Medal,1948260,Spain
Bronze Medal,1948239,Spain
Bronze Medal,1948238,Spain
Bronze Medal,1948246,Spain
Bronze Medal,1948251,Spain
Bronze Medal,1948281,Spain
Bronze Medal,1948233,Spain
Bronze Medal,1948252,Spain
Bronze Medal,1948288,Spain
Bronze Medal,1948280,Spain
Bronze Medal,1948240,Spain
Bronze Medal,1948268,Spain
Bronze Medal,1948244,Spain
Bronze Medal,1948278,Spain
Gold Medal,1921740,Italy
Gold Medal,1921757,Italy
Gold Medal,1921738,Italy
Gold Medal,1921747,Italy
Gold Medal,1921751,Italy
Gold Medal,1921746,Italy
Gold Medal,1921742,Italy
Gold Medal,1921752,Italy
Gold Medal,1921743,Italy
Gold Medal,1969716,Italy
Gold Medal,1921761,Italy
Gold Medal,1921753,Italy
Gold Medal,1921749,Italy
Silver Medal,1917762,United States
Silver Medal,1917759,United States
Silver Medal,1917760,United States
Silver Medal,1917765,United States
Silver Medal,1917766,United States
Silver Medal,1917769,United States
Silver Medal,1917758,United States
Silver Medal,1917738,United States
Silver Medal,1917752,United States
Silver Medal,1917741,United States
Silver Medal,1917757,United States
Silver Medal,1917756,United States
Silver Medal,1917746,United States
Gold Medal,1956434,Serbia
Gold Medal,1956444,Serbia
Gold Medal,1956459,Serbia
Gold Medal,1956456,Serbia
Gold Medal,1956426,Serbia
Gold Medal,1956427,Serbia
Gold Medal,1956432,Serbia
Gold Medal,1956440,Serbia
Gold Medal,1956466,Serbia
Gold Medal,1956465,Serbia
Gold Medal,1956457,Serbia
Gold Medal,1956438,Serbia
Gold Medal,1956448,Serbia
Silver Medal,1915766,Croatia
Silver Medal,1915768,Croatia
Silver Medal,1915778,Croatia
Silver Medal,1915781,Croatia
Silver Medal,1915784,Croatia
Silver Medal,1915769,Croatia
Silver Medal,1915792,Croatia
Silver Medal,1915791,Croatia
Silver Medal,1915802,Croatia
Silver Medal,1915790,Croatia
Silver Medal,1915801,Croatia
Silver Medal,1915782,Croatia
Silver Medal,1915793,Croatia
Bronze Medal,1908370,United States
Bronze Medal,1908360,United States
Bronze Medal,1908369,United States
Bronze Medal,1908365,United States
Bronze Medal,1908353,United States
Bronze Medal,1908352,United States
Bronze Medal,1908357,United States
Bronze Medal,1908371,United States
Bronze Medal,1908350,United States
Bronze Medal,1908354,United States
Bronze Medal,1908355,United States
Bronze Medal,1908361,United States
Bronze Medal,1908359,United States
Gold Medal,1927515,China
Gold Medal,1927516,China
Gold Medal,1927517,China
Gold Medal,1927518,China
Gold Medal,1927519,China
Silver Medal,1908226,Israel
Silver Medal,1908240,Israel
Silver Medal,1908233,Israel
Silver Medal,1908235,Israel
Silver Medal,1908230,Israel
Bronze Medal,1923700,Italy
Bronze Medal,1923701,Italy
Bronze Medal,1923699,Italy
Bronze Medal,1923703,Italy
Bronze Medal,1923704,Italy
