medal_type,code,country
Silver Medal,1563390,Sweden
Bronze Medal,1889177,France
Gold Medal,1956398,Serbia
Silver Medal,1563682,Spain
Gold Medal,1919480,Japan
Silver Medal,1935685,Colombia
Bronze Medal,1918864,China
Bronze Medal,1878037,Chinese Taipei
Gold Medal,1918865,China
Silver Medal,1897555,Ukraine
Bronze Medal,1919480,Japan
Gold Medal,1551061,Italy
Silver Medal,1918881,China
Bronze Medal,1560762,Italy
Gold Medal,1953634,Brazil
Silver Medal,1959861,United States
Bronze Medal,1550170,Romania
Gold Medal,1569203,Sweden
Silver Medal,1960178,United States
Bronze Medal,1961218,Greece
Gold Medal,1910560,Kenya
Silver Medal,1910451,Kenya
Bronze Medal,1972105,Netherlands
Gold Medal,1924429,Great Britain
Silver Medal,1536498,Ethiopia
Bronze Medal,1928047,Kenya
Gold Medal,1960721,United States
Silver Medal,1919067,China
Bronze Medal,1922205,Croatia
Gold Medal,1888993,Denmark
Silver Medal,1926294,Thailand
Bronze Medal,1566617,Malaysia
Gold Medal,1891498,Korea
Silver Medal,1913436,China
Gold Medal,1945386,New Zealand
Silver Medal,1896032,Great Britain
Bronze Medal,1913780,Germany
Gold Medal,1940209,Australia
Silver Medal,1880483,France
Bronze Medal,1896045,Great Britain
Gold Medal,1913913,China
Silver Medal,1893852,Korea
Bronze Medal,1913919,China
Gold Medal,1567361,France
Silver Medal,1946129,Australia
Bronze Medal,1955778,Brazil
Gold Medal,1943206,United States
Silver Medal,1955783,Brazil
Bronze Medal,1567359,France
Gold Medal,1960933,United States
Silver Medal,1924440,Great Britain
Bronze Medal,1965327,United States
Gold Medal,1961246,Greece
Silver Medal,1938899,Jamaica
Bronze Medal,1552378,Italy
Gold Medal,1965868,United States
Silver Medal,1537325,Saint Lucia
Bronze Medal,1960588,United States
Gold Medal,1926102,Bahrain
Silver Medal,1971686,Uganda
Bronze Medal,1910453,Kenya
Gold Medal,1974290,Canada
Silver Medal,1960899,United States
Bronze Medal,1919077,China
Bronze Medal,1955645,United States
